,tconst,primaryTitle,startYear,genres,averageRating,budget,ww_gross,budget1mil,ww_gross1mil,ROI,genre_list,Mystery,Comedy,Thriller,Sci-Fi,Adventure,Animation,genre_count,top_genre_list
61,tt0765446,Escape from Planet Earth,2013,"Adventure,Animation,Comedy",5.9,40000000.0,74939189.0,40.0,74.94,87.3479725,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Comedy
62,tt0770703,What's Your Number?,2011,"Comedy,Romance",6.1,20000000.0,30426096.0,20.0,30.43,52.13048,"['Comedy', 'Romance']",False,True,False,False,False,False,2,Comedy
64,tt0770828,Man of Steel,2013,"Action,Adventure,Sci-Fi",7.0,225000000.0,668045518.0,225.0,668.05,196.9091191111111,"['Action', 'Adventure', 'Sci-Fi']",False,False,False,True,True,False,3,Adventure
64,tt0770828,Man of Steel,2013,"Action,Adventure,Sci-Fi",7.0,225000000.0,668045518.0,225.0,668.05,196.9091191111111,"['Action', 'Adventure', 'Sci-Fi']",False,False,False,True,True,False,3,Sci-Fi
65,tt0775489,The Illusionist,2010,"Animation,Drama,Family",7.5,17000000.0,6007194.0,17.0,6.01,-64.66356470588235,"['Animation', 'Drama', 'Family']",False,False,False,False,False,True,3,Animation
67,tt0780653,The Wolfman,2010,"Drama,Fantasy,Horror",5.8,150000000.0,139789765.0,150.0,139.79,-6.806823333333334,"['Drama', 'Fantasy', 'Horror']",False,False,False,False,False,False,3,Horror
69,tt0787474,The Boxtrolls,2014,"Adventure,Animation,Comedy",6.8,60000000.0,108255770.0,60.0,108.26,80.42628333333333,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Adventure
69,tt0787474,The Boxtrolls,2014,"Adventure,Animation,Comedy",6.8,60000000.0,108255770.0,60.0,108.26,80.42628333333333,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Animation
69,tt0787474,The Boxtrolls,2014,"Adventure,Animation,Comedy",6.8,60000000.0,108255770.0,60.0,108.26,80.42628333333333,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Comedy
71,tt0790628,The Incredible Burt Wonderstone,2013,Comedy,5.9,30000000.0,27437881.0,30.0,27.44,-8.540396666666666,['Comedy'],False,True,False,False,False,False,1,Comedy
73,tt0790724,Jack Reacher,2012,"Action,Thriller",7.0,60000000.0,218340595.0,60.0,218.34,263.9009916666667,"['Action', 'Thriller']",False,False,True,False,False,False,2,Thriller
74,tt0790736,R.I.P.D.,2013,"Action,Adventure,Comedy",5.6,130000000.0,78324220.0,130.0,78.32,-39.750600000000006,"['Action', 'Adventure', 'Comedy']",False,True,False,False,True,False,3,Adventure
74,tt0790736,R.I.P.D.,2013,"Action,Adventure,Comedy",5.6,130000000.0,78324220.0,130.0,78.32,-39.750600000000006,"['Action', 'Adventure', 'Comedy']",False,True,False,False,True,False,3,Comedy
75,tt0795461,Scary Movie V,2013,"Comedy,Horror",3.5,20000000.0,78378744.0,20.0,78.38,291.89372,"['Comedy', 'Horror']",False,True,False,False,False,False,2,Comedy
75,tt0795461,Scary Movie V,2013,"Comedy,Horror",3.5,20000000.0,78378744.0,20.0,78.38,291.89372,"['Comedy', 'Horror']",False,True,False,False,False,False,2,Horror
76,tt0800320,Clash of the Titans,2010,"Action,Adventure,Fantasy",5.8,125000000.0,493214993.0,125.0,493.21,294.5719944,"['Action', 'Adventure', 'Fantasy']",False,False,False,False,True,False,3,Adventure
77,tt0800369,Thor,2011,"Action,Adventure,Fantasy",7.0,150000000.0,449326618.0,150.0,449.33,199.55107866666665,"['Action', 'Adventure', 'Fantasy']",False,False,False,False,True,False,3,Adventure
78,tt0803061,Red Dog,2011,"Biography,Comedy,Drama",7.4,6035000.0,21185162.0,6.04,21.19,251.0383098591549,"['Biography', 'Comedy', 'Drama']",False,True,False,False,False,False,3,Comedy
79,tt0803096,Warcraft,2016,"Action,Adventure,Fantasy",6.8,160000000.0,439048914.0,160.0,439.05,174.40557125,"['Action', 'Adventure', 'Fantasy']",False,False,False,False,True,False,3,Adventure
81,tt0804497,It's Kind of a Funny Story,2010,"Comedy,Drama,Romance",7.1,8000000.0,6491240.0,8.0,6.49,-18.8595,"['Comedy', 'Drama', 'Romance']",False,True,False,False,False,False,3,Comedy
82,tt0808510,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,48000000.0,112462508.0,48.0,112.46,134.29689166666668,"['Comedy', 'Family', 'Fantasy']",False,True,False,False,False,False,3,Comedy
84,tt0810913,Jack and Jill,2011,Comedy,3.3,79000000.0,149673788.0,79.0,149.67,89.4604911392405,['Comedy'],False,True,False,False,False,False,1,Comedy
85,tt0810922,Take Me Home Tonight,2011,"Comedy,Drama,Romance",6.3,23000000.0,7550073.0,23.0,7.55,-67.17359565217392,"['Comedy', 'Drama', 'Romance']",False,True,False,False,False,False,3,Comedy
86,tt0814255,Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure,Family,Fantasy",5.9,95000000.0,226497209.0,95.0,226.5,138.4181147368421,"['Adventure', 'Family', 'Fantasy']",False,False,False,False,True,False,3,Adventure
87,tt0815236,She's Out of My League,2010,"Comedy,Romance",6.4,20000000.0,49779728.0,20.0,49.78,148.89864,"['Comedy', 'Romance']",False,True,False,False,False,False,2,Comedy
89,tt0816462,Conan the Barbarian,2011,"Action,Adventure,Fantasy",5.2,90000000.0,63523283.0,90.0,63.52,-29.418574444444445,"['Action', 'Adventure', 'Fantasy']",False,False,False,False,True,False,3,Adventure
90,tt0816692,Interstellar,2014,"Adventure,Drama,Sci-Fi",8.6,165000000.0,689983999.0,165.0,689.98,318.1721206060606,"['Adventure', 'Drama', 'Sci-Fi']",False,False,False,True,True,False,3,Adventure
90,tt0816692,Interstellar,2014,"Adventure,Drama,Sci-Fi",8.6,165000000.0,689983999.0,165.0,689.98,318.1721206060606,"['Adventure', 'Drama', 'Sci-Fi']",False,False,False,True,True,False,3,Sci-Fi
91,tt0816711,World War Z,2013,"Action,Adventure,Horror",7.0,190000000.0,540007876.0,190.0,540.01,184.2146715789474,"['Action', 'Adventure', 'Horror']",False,False,False,False,True,False,3,Adventure
91,tt0816711,World War Z,2013,"Action,Adventure,Horror",7.0,190000000.0,540007876.0,190.0,540.01,184.2146715789474,"['Action', 'Adventure', 'Horror']",False,False,False,False,True,False,3,Horror
92,tt0817177,Flipped,2010,"Comedy,Drama,Romance",7.7,14000000.0,4225921.0,14.0,4.23,-69.81484999999999,"['Comedy', 'Drama', 'Romance']",False,True,False,False,False,False,3,Comedy
93,tt0817230,Valentine's Day,2010,"Comedy,Romance",5.7,52000000.0,216485654.0,52.0,216.49,316.3185653846154,"['Comedy', 'Romance']",False,True,False,False,False,False,2,Comedy
94,tt0822847,Priest,2011,"Action,Horror,Thriller",5.7,60000000.0,78309505.0,60.0,78.31,30.515841666666667,"['Action', 'Horror', 'Thriller']",False,False,True,False,False,False,3,Horror
94,tt0822847,Priest,2011,"Action,Horror,Thriller",5.7,60000000.0,78309505.0,60.0,78.31,30.515841666666667,"['Action', 'Horror', 'Thriller']",False,False,True,False,False,False,3,Thriller
96,tt0831387,Godzilla,2014,"Action,Adventure,Sci-Fi",6.4,160000000.0,524976069.0,160.0,524.98,228.110043125,"['Action', 'Adventure', 'Sci-Fi']",False,False,False,True,True,False,3,Adventure
96,tt0831387,Godzilla,2014,"Action,Adventure,Sci-Fi",6.4,160000000.0,524976069.0,160.0,524.98,228.110043125,"['Action', 'Adventure', 'Sci-Fi']",False,False,False,True,True,False,3,Sci-Fi
97,tt0837562,Hotel Transylvania,2012,"Animation,Comedy,Family",7.1,85000000.0,358375603.0,85.0,358.38,321.61835647058825,"['Animation', 'Comedy', 'Family']",False,True,False,False,False,True,3,Animation
97,tt0837562,Hotel Transylvania,2012,"Animation,Comedy,Family",7.1,85000000.0,358375603.0,85.0,358.38,321.61835647058825,"['Animation', 'Comedy', 'Family']",False,True,False,False,False,True,3,Comedy
98,tt0837563,Pet Sematary,2019,"Horror,Mystery,Thriller",5.7,21000000.0,113118226.0,21.0,113.12,438.658219047619,"['Horror', 'Mystery', 'Thriller']",True,False,True,False,False,False,3,Horror
98,tt0837563,Pet Sematary,2019,"Horror,Mystery,Thriller",5.7,21000000.0,113118226.0,21.0,113.12,438.658219047619,"['Horror', 'Mystery', 'Thriller']",True,False,True,False,False,False,3,Mystery
98,tt0837563,Pet Sematary,2019,"Horror,Mystery,Thriller",5.7,21000000.0,113118226.0,21.0,113.12,438.658219047619,"['Horror', 'Mystery', 'Thriller']",True,False,True,False,False,False,3,Thriller
