,tconst,primaryTitle,startYear,genres,averageRating,budget,ww_gross,budget1mil,ww_gross1mil,numeratorROI,ROI,genre_list,History,Mystery,Western,Fantasy,Drama,Horror,Documentary,Comedy,Thriller,Music,Sport,Biography,Romance,Sci-Fi,Crime,Family,Adventure,Action,Musical,Animation,War,genre_count
720,tt1597522,Ast̩rix and Ob̩lix: God Save Britannia,2012,"Adventure,Comedy,Family",5.3,71980000.0,61319383.0,71.98,61.32,-10660617.0,-14.810526535148652,Comedy,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,3
720,tt1597522,Ast̩rix and Ob̩lix: God Save Britannia,2012,"Adventure,Comedy,Family",5.3,71980000.0,61319383.0,71.98,61.32,-10660617.0,-14.810526535148652,Family,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,3
721,tt1598778,Contagion,2011,"Action,Drama,Thriller",6.7,60000000.0,136515867.0,60.0,136.52,76515867.0,127.52644500000001,Action,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3
721,tt1598778,Contagion,2011,"Action,Drama,Thriller",6.7,60000000.0,136515867.0,60.0,136.52,76515867.0,127.52644500000001,Drama,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3
721,tt1598778,Contagion,2011,"Action,Drama,Thriller",6.7,60000000.0,136515867.0,60.0,136.52,76515867.0,127.52644500000001,Thriller,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3
722,tt1598822,New Year's Eve,2011,"Comedy,Romance",5.7,56000000.0,142044638.0,56.0,142.04,86044638.0,153.65113928571427,Comedy,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,2
722,tt1598822,New Year's Eve,2011,"Comedy,Romance",5.7,56000000.0,142044638.0,56.0,142.04,86044638.0,153.65113928571427,Romance,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,2
723,tt1598828,One for the Money,2012,"Action,Comedy,Crime",5.3,40000000.0,38084162.0,40.0,38.08,-1915838.0,-4.789595,Action,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,3
723,tt1598828,One for the Money,2012,"Action,Comedy,Crime",5.3,40000000.0,38084162.0,40.0,38.08,-1915838.0,-4.789595,Comedy,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,3
723,tt1598828,One for the Money,2012,"Action,Comedy,Crime",5.3,40000000.0,38084162.0,40.0,38.08,-1915838.0,-4.789595,Crime,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,3
724,tt1599348,Safe House,2012,"Action,Thriller",6.7,85000000.0,208076205.0,85.0,208.08,123076205.0,144.79553529411763,Action,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
724,tt1599348,Safe House,2012,"Action,Thriller",6.7,85000000.0,208076205.0,85.0,208.08,123076205.0,144.79553529411763,Thriller,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
